Country/Region,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
Argentina,0.8,5.75,21.2,0.04,0.47,1.07,5.38,39.01,49.3,0.71,4.69,8.13
Australia,0.06,0.35,0.45,0.08,0.29,0.61,0,0.08,0.09,5.67,6.46,22.86
Brazil,6,47.73,71.3,1.45,7.94,7.89,6.99,37.93,81.5,0.6,10.98,4.38
Canada,1.55,11.65,13.06,0.04,0.37,0,0.16,2.09,5.09,5.11,8.57,27.25
China,123.53,216.1,229.56,76.6,136.79,141.47,14,75.62,13.05,53.34,121.8,122.54
Egypt,0.8,13.59,8.09,0.61,4.13,4.7,0.19,1.79,0.03,3.79,19.19,8.79
European Union,6,71.14,57.32,0.54,3.04,1.89,1.1,13.51,0.96,8.7,118.04,132.57
India,1.96,17.2,22.26,25,94.38,105.24,1.31,14.29,14.67,24.5,84.59,94.88
Indonesia,3,20.55,19.39,7.8,38.66,37.46,0.1,2.66,0.84,1.05,6.58,0
Japan,1.33,14.7,0,3.58,8.11,7.87,0.08,2.94,0.24,1.83,6.95,0.86
Kazakhstan,0.04,0.52,0.52,0.04,0.21,0.23,0.04,0.2,0.17,4.72,6.74,9.84
Mexico,1.3,27.58,22.07,0.06,0.77,0.13,0.15,3.7,0.25,0.6,6.6,3.27
Nigeria,0.15,9.22,8.7,1.2,6.11,3.26,0.01,0.65,0.65,0.15,4.22,0.1
Philippines,0.35,7.43,7.41,2.19,12.73,11.86,0,0.05,0,0.6,3.7,0
Republic of Korea,1.22,8.48,0.08,1.46,4.42,4.01,0.06,1.36,0.12,1,4.93,0.04
Russian Federation,0.4,6.82,8.21,0.05,0.73,0.7,0.04,2.56,1.81,4.26,33.86,37.72
Saudi Arabia,0.05,2.19,0.09,0.28,1.28,0,0,0.15,0,2.12,3.12,0.85
South Africa,1.42,10.41,12.76,0.25,0.99,0,0.07,0.66,0.65,0.49,3.13,1.88
Thailand,0.4,4.98,4.95,17.5,13.11,25.16,0.02,1.95,0.06,0.8,2.3,0
Turkey,0.5,6.01,4.6,0.06,0.73,0.53,0.02,1.4,0.12,4.43,20.65,20.1
Ukraine,3.29,8.3,20.96,0.01,0.14,0.11,0.19,0.99,2.41,3.16,11.29,15.76
United States of America,20.86,262.97,273.19,1.16,3.78,6.35,3.84,48.83,82.79,19.54,37.81,61.3
Viet Nam,0.65,6.38,4.97,2.89,20.83,28.43,0.04,1.45,0.17,0.72,2.27,0
