Country/Region,Maize_Closing Stocks,Maize_Domestic Utilization,Maize_Production,Rice_Closing Stocks,Rice_Domestic Utilization,Rice_Production,Soybean_Closing Stocks,Soybean_Domestic Utilization,Soybean_Production,Wheat_Closing Stocks,Wheat_Domestic Utilization,Wheat_Production
Argentina,4,14.84,33.8,0.37,0.54,1.06,16.2,48.95,58.8,2.1,5.53,11.3
Australia,0.06,0.43,0.49,0.21,0.3,0.46,0,0.04,0.04,4.57,7.23,22.27
Brazil,12.49,53.69,85.28,0.65,7.83,8.47,10.47,42.61,95.7,0.59,11.15,5.51
Canada,2.24,12.29,13.68,0.06,0.38,0,0.38,2.55,6.46,5.18,7.68,27.65
China,193.23,250.87,264.99,96,145.18,145.32,14.7,96.92,12.37,78.2,120.31,132.64
Egypt,1.5,16.31,7.8,0.92,4.58,4.75,0.02,1.28,0.03,5.21,20.4,9.61
European Union,8.5,74.31,59.29,0.54,3.24,1.8,1.35,16.86,2.37,16.76,130.79,160.91
India,2.14,22.8,22.57,18.9,97.05,104.41,0.14,9.15,8.57,20,88.93,86.53
Indonesia,2,23.35,19.61,7.3,39.29,38.29,0.2,3.06,0.86,0.95,8.64,0
Japan,1.93,14.76,0,3.25,8.57,7.64,0.3,3.38,0.24,1.78,6.37,1
Kazakhstan,0.17,0.66,0.73,0.04,0.22,0.28,0.02,0.24,0.22,3.31,7.04,13.75
Mexico,3.5,36.14,24.69,0.03,0.81,0.15,0.43,4.26,0.33,0.75,7.01,3.71
Nigeria,0.65,10.49,10.56,1.05,7.32,4.54,0.01,0.69,0.65,0.3,4.52,0.06
Philippines,0.72,8.3,7.52,2.73,12.73,11.43,0.02,0.11,0,0.6,5.07,0
Republic of Korea,1.89,10.15,0.08,2.28,4.43,4.33,0.04,1.47,0.1,0.7,4.19,0.03
Russian Federation,0.8,8.52,13.17,0.11,0.76,0.74,0.18,4.16,2.71,7.95,37.25,61.81
Saudi Arabia,0.2,3.68,0.08,0.5,1.4,0,0,0.5,0,3.24,3.4,0.01
South Africa,2.47,11.31,10.63,0.18,0.9,0,0.09,1.17,1.07,0.83,3.21,1.45
Thailand,0.85,4.24,4.61,10.9,13.78,18.15,0.13,2.62,0.06,1.3,4.3,0
Turkey,1,6.92,6.4,0.1,0.78,0.55,0.35,2.42,0.16,5.04,22.15,22.6
Ukraine,4.04,7.78,23.33,0.01,0.12,0.04,0.2,1.55,3.93,3.99,10.4,26.53
United States of America,44.12,298.84,345.51,1.48,3.58,6.13,5.35,54.66,106.85,26.55,31.94,56.12
Viet Nam,1.48,12.41,5.29,2.92,21.78,29.31,0.26,1.73,0.15,0.2,2.91,0
